product_id,product_name,review,aspect,gpt_aspect,final_aspect,polarity,gpt_polarity,final_polarity,"category(가격, 배송, 품질, 디자인, 기타)",gpt_category,final_category,수정 이유,비고,final_target,gpt_target,특이사항
352595429,오아 무선 접이식 블루투스 키보드,전반적으로 좀 불편했습니다.,제품,편의성,편의성,N,N,N,품질,품질,품질,"리뷰에서 언급된 '불편함'을 고려하여 aspect를 '편의성'으로 수정하고, 해당 내용이 부정적인 평가이므로 polarity를 'N'으로 수정하였습니다. 또한, 제품의 품질과 관련된 내용이므로 category는 '품질'로 유지하였습니다. 상품명을 참고하여 target은 '키보드'로 설정하였습니다.",,키보드,품질,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,"배송은 주문 이후 이틀 정도 걸렸습니다. 한영전환이 맥북이랑 똑같아서 편리하고, 예쁘고 누르는 느낌 좋고(착착 눌려요.) 가격대비 상당히 괜찮은 제품인 것 같아요. 단점은 휴대용 블루투스 키보드가 가질 수밖에 없는 것들입니다. 타자속도를 완전히 따라오지 못하는 점, 백스페이스와 쉬프트, 마침표키 사용이 불편하다는 점, 미끄럼 방지 처리가 되어있지 않아 쓰면서 다소 움직인다는 점, 받침대가 케이스 끼운 아이패드는 지지하지 못한다는 점, 생각보다 크기가 좀 있다는 점(아이패드 7세대 10.2형 세로길이와 거의 같습니다.) 등이 있지만 다 감수할 만한 불편함들이라고 생각합니다. 다만 키스킨은 있었으면 좋겠다고 생각합니다. 소리는 차치하고 흰색이라 때탈까봐 신경 쓰여서요. 하지만 흰색이 예쁩니다. 건강하게 오래 쓸 수 있었으면 좋겠습니다~~","배송, 한영전환, 제품, 가성비, 타자속도, 키 사용, 미끄럼 방지 처리, 받침대, 사이즈, 키스킨, 때, 흰색, 제품","배송, 한영전환, 디자인, 품질, 키 사용, 미끄럼 방지 처리, 받침대, 사이즈, 키스킨, 때, 흰색","배송, 한영전환, 디자인, 가성비, 키 사용, 미끄럼 방지 처리, 받침대, 사이즈, 키스킨, 때, 흰색","O, P, P, P, N, N, N, N, N, N, O, P, O","P, P, P, P, N, N, N, N, O, O, O","O, P, P, P, N, N, N, N, O, O, P","배송, 디자인, 품질, 가격, 품질, 디자인, 디자인, 디자인, 디자인, 품질, 디자인, 디자인, 품잘","배송, 디자인, 디자인, 품질, 품질, 디자인, 디자인, 디자인, 기타, 디자인, 디자인","배송, 디자인, 디자인, 가격, 품질, 디자인, 디자인, 디자인, 기타, 디자인, 디자인","aspect 라벨은 제품과 제품의 속성으로 나누어 적합한 명사 및 명사구로 수정하였습니다. Polarity는 각 aspect에 대한 긍정적, 부정적, 중립적 평가를 반영하도록 수정하였습니다. Category는 각 aspect가 속하는 범주를 명확히 하기 위해 수정하였습니다. Target은 상품명을 참고하여 적절한 상품 카테고리인 '키보드'로 수정하였습니다.",1,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,귀엽고 깔끔한 디자인 아주 마음에 듭니다.,디자인,디자인,디자인,P,P,P,디자인,디자인,디자인,리뷰에서 언급된 내용이 제품의 디자인에 대한 긍정적인 평가이므로 aspect와 category 라벨을 그대로 유지하였습니다.,,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,너무 편해요. 잘 샀어요.,"제품, 제품",사용성,"편의성, 만족도","P, P",P,"P, P","품질, 품질",품질,"품질, 품질",기존 aspect '제품'을 좀 더 구체적인 '사용성'으로 수정하여 사용자 경험에 대한 평가를 더 명확히 나타냈습니다.,,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,페어링도 잘 되는 편이고 무게도 가벼운 편이에요. 무엇보다 조용하면서도 키감이 좋아서 맘에 쏙 드네요.,"페어링, 무게, 소리, 키감","페어링, 무게, 소리, 키감","페어링, 무게, 소리, 키감","P, P, P, P","P, P, P, P","P, P, P, P",품질,품질,"품질, 디자인, 품질, 품질","기존 aspect 라벨들은 모두 해당 제품의 속성을 나타내고 있으며, 페어링, 무게, 소리, 키감이 모두 중요한 품질 요인이기 때문에 유지하였습니다. 또한, 제품명이 '키보드'이므로 target 라벨을 '키보드'로 유지하였습니다.",1,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,"사이즈 맞는 대체 파우치 찾아보기 귀찮을 것 같아서 같이 구매했다. 사이즈 딱 맞고 적당히 폭신 짱짱해서 같이 사는 걸 추천하지만, 앞부분 가장자리 마감이 조금 아쉽다. 지퍼나 똑딱이로 잠글 수 있는 장치가 없다. 그래서 앞섶이 약간 벌어져 보인다. 그 사이로 아쉬운 마감이 돋보여서 슬프다. 이래서 검정 색상뿐인 건가. 대신 덕분에 충전할 때 이렇게 머리만 꺼내놓고 충전하기 용이하다. 아쉬운 점은 있지만, 그래도 결론적으로는 사는 걸 추천한다. 키보드가 생각보다 무겁다. 게다가 무려 4단 접이식인 걸 감안하면 작은 충돌도 걱정하게 되고, 충격흡수 파우치가 필수로 느껴진다. 안 샀으면 불안해서 딱맞는 대체용기 찾기 전까지 못 들고 다녔을 것 같다.","사이즈, 재질, 마감, 지퍼 장치, 충전, 제품, 무게, 충격","사이즈, 재질, 마감, 지퍼 장치, 충전, 무게, 충격흡수","사이즈, 재질, 마감, 지퍼 장치, 충전, 추천, 무게, 충격흡수","O, P, N, N, P, P, N, N","P, P, N, N, P, N, N","O, P, N, N, P, P, N, N","디자인, 디자인, 디자인, 디자인, 디자인, 품질, 디자인, 품질","디자인, 디자인, 디자인, 디자인, 기능성, 기능성, 기능성","디자인, 디자인, 디자인, 디자인, 디자인, 품질, 디자인, 디자인","마감과 지퍼 장치는 제품의 디자인 측면을 나타내므로 디자인으로 수정하였습니다. 또한, 충전과 무게, 충격흡수는 제품의 기능성과 품질에 영향을 미치므로 해당 카테고리로 수정하였습니다.",,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,파우치도 있어서 이동할때 편하게 들고갑니다,"파우치, 제품",편의성,편의성,"O, P",P,P,"품질, 디자인",기타,품질,"리뷰에서 언급된 '파우치'는 편의성 측면을 나타내므로 '편의성'으로 수정하였습니다. 또한, 해당 제품은 키보드이므로 target을 '키보드'로 설정하였습니다.",1,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,"타자감이 좋네요! 아이패드 6세대인데 무게도 잘 버티구요! 다만 조금 타자가 늦게 쳐지는 감이 없지 않아 있는것 같네요,,,그래도 막 신경쓰일정도는 아니에요!","타자감, 무게, 타자","타자감, 무게","타자감, 무게, 타자","P, P, O","P, P","P, P, O","품질, 디자인, 품질","품질, 디자인","품질, 디자인, 품질","기존 aspect 라벨인 '타자'를 '타자감'과 '무게'로 분리하여 명확히 구분하였습니다. 또한, '타자'와 '무게'는 품질과 디자인으로 각각 분류했습니다.",,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,확실히 작아서 휴대하기 좋지만 무거운감이 있네요. 동생 사준건데 한번 키를 누르는데 두번씩 눌린다고 못쓰겠다고 하더라구요 어떤 문제인건지 모르겠지만 가격이 엄청 저렴한것도 아닌데 벌써 고장날 줄은 몰랐어요 결국 다른곳에서 비싼걸로 다시 샀네요...,"사이즈, 휴대, 무게, 키, 가격","사이즈, 무게, 키, 품질","사이즈, 휴대, 무게, 키, 가격, 제품","P, P, N, N, N","N, N, N, N","P, P, N, N, N, N","디자인, 디자인, 디자인, 품질, 가격","디자인, 디자인, 품질, 품질","디자인, 디자인, 디자인, 품질, 가격, 품질","기존 aspect 라벨 중 '가격'은 해당 리뷰에서 언급되지 않았으므로 제외하고, '사이즈'와 '키'를 추가하여 키보드의 크기와 버튼에 대한 평가를 반영하였습니다. 또한 '디자인'과 '품질' 카테고리를 중복해서 사용하여 구체적인 내용을 나누어 주었습니다.",,키보드,키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,제품이온 첫날빼고 쓰는걸 못봤어요,제품,품질,사용성,N,N,N,품질,기타,품질,원본 라벨 '제품'이 너무 일반적이고 구체적인 평가를 위해 '품질'로 수정하였습니다.,1,키보드,블루투스 키보드,
352595429,오아 무선 접이식 블루투스 키보드,"키감이 많이 떨어져요. 난 2-3글자 앞서 있는데, 뒤는게 따라와 좀 불편해서 잘 안쓰게 됩니다",키감,키 반응 속도,키 반응 속도,N,N,"N, N, N",품질,품질,"품질, 품질, 품질","기존 '키감' 라벨을 '키 반응 속도'로 수정한 이유는 사용자가 키보드의 키 반응 속도에 대한 불만을 표현했기 때문입니다. 이는 제품의 품질 측면에 해당하며, 부정적인 평가를 반영하기 위해 'N'으로 설정했습니다.",,키보드,키보드,aspect 생성 개수에 맞게 polarity와 category 값을 생성하지 않음 (다 동일한 값이어서 그런듯). polarity와 category만 갯수가 같은 경우가 있음
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,한달동안 잘쓰다가 갑자기 고장난것 같아요 충전할때 charge 에 빨간 불이 들어오는데 ON/OFF를 누르면 불이 안들어오고 블루투스 연결도 안되요,고장,기능,"기능, 블루투스 연결",N,N,"N, N",품질,품질,"품질, 품질","고장난 부분에 대한 리뷰이므로 '기능'으로 수정하였습니다. 부정적인 평가이므로 'N'으로 평가하였고, 상품의 기능과 성능에 대한 평가이므로 '품질' 카테고리로 유지하였습니다. 상품명을 참고하여 '무선 키보드'를 target으로 지정하였습니다.",,키보드,무선 키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,우선 휴대용이라는 점에서 세로접기는 나쁘지 않았다. 하지만 폰을 쓰고 냅두기에는 좋은 점이 별로 없고 그리고 태블릿을 놓았을때도 저절로 꺼져서 이게 무슨 일인가 싶었다. 그리고 확실히 키감이 그렇게 좋은것도 아니고 아래부분이 튀어나와서...솔직히 다른 가성비 좋은 제품들에 비해서 이건 좀 별로라고 느꼈던거 같다.,"제품, 제품, 제품, 키감, 가성비","휴대성, 키감, 디자인, 성능","휴대, 제품, 제품, 키감, 아래부분, 가성비","O, N, N, N, N","O, N, N, N","O, N, N, N, N, N","디자인, 품질, 품질, 품질, 가격","품질, 품질, 디자인, 품질","디자인, 디자인, 품질, 디자인, 디자인, 가격","기존 aspect 라벨 중 '제품'이 반복되어 다양한 측면을 고려하여 수정하였습니다. 또한, '가성비'는 품질에 해당하는 카테고리로 수정하였습니다.",,키보드,키보드,"가성비 aspect를 wording 그대로 사용하기보다 성능 aspect로 라벨링하고, 품질 category로 분류하는 경향이 있음 (가격 카테고리로 라벨링 해야함). 또, aspect에서 '제품'을 반복하는 것을 지양함."
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,설치 너무.어렵고 힘들어서요 잘사용하게 될지 잘 모르겠지만 일단 그렇네요,설치,사용성,"설치, 사용 빈도",N,N,"N, N",품질,품질,"품질, 품질",기존 '설치' 라벨은 사용성과 관련이 있어서 '사용성'으로 수정하였습니다. 부정적인 평가이므로 'N'으로 polarity 수정하였습니다.,,키보드,키보드,"설치, 크기 등의 aspect를 더 큰 개념 범위인 사용성으로 wording을 바꾸는 경향이 있음."
352595429,오아 무선 접이식 블루투스 키보드,작아서 여전히 적응안되고 데스크톱이랑 많이 다름,사이즈,사용성,사이즈,N,N,N,디자인,디자인,디자인,"리뷰에 언급된 '작아서 여전히 적응안되고' 부분은 사용성(크기) 측면에서의 평가로 해석될 수 있으므로, aspect 라벨을 '사용성'으로 수정하였습니다. Polarity 라벨은 부정적인 평가이므로 'N'으로 유지하였고, 카테고리 라벨은 리뷰가 제품의 디자인에 대한 내용을 포함하고 있으므로 '디자인'으로 수정하였습니다. Target 라벨은 상품명을 참고하여 '키보드'로 설정하였습니다.",,키보드,키보드,"설치, 크기 등의 aspect를 더 큰 개념 범위인 사용성으로 wording을 바꾸는 경향이 있음."
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,키보드는 좋긴한데 케이스는 진짜 너무 대충 만드신듯...ㅠ,"제품, 케이스",제품 품질,"제품, 케이스","P, N",P P,"P, N","품질, 품질",품질 품질,"품질, 품질",케이스는 제품의 일부분이므로 '케이스'를 '제품'으로 수정하여 제품 전체에 대한 평가로 통합하였습니다. 또한 긍정적인 평가이므로 polarity를 'P'로 수정하였습니다.,,키보드,키보드,"제품의 구성요소인 케이스 aspect를 제품으로 통합하는 경향도 있음, 이에 따라 polarity도 잘못 매김"
352595429,오아 무선 접이식 휴대용 블루투스 키보드,나쁘지않은데 손이 자주 가지않네요,제품,편의성,"제품, 사용 빈도",N,N,"O, N",품질,품질,"품질, 품질",리뷰에서 언급된 '손이 자주 가지않네요'라는 문구를 바탕으로 편의성 측면에서 부정적인 평가를 반영함,,키보드,키보드,사용 빈도 aspect를 편의성으로 평가하는 경향
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,너무나도 좋습니다~~~!,제품,품질,제품,P,P,P,품질,전자제품,품질,"리뷰가 제품의 품질에 대한 긍정적인 평가를 내포하고 있으므로 aspect를 '품질'로 수정하였습니다. 상품명을 확인하여 '전자제품'으로 category를 수정하였고, target은 상품명을 기준으로 수정하였습니다.",,키보드,무선 접이식 블루투스 키보드,"category 표기법에 대한 인식 부족. 5가지 카테고리 옵션 외에 값을 생성함(제품군인 target을 참고함). 또한, 생략된 주어에 대한 리뷰글은 aspect'제품'이 아닌 다른 값을 추측함"
352595429,오아 무선 접이식 블루투스 키보드,내구성도 좋아요 정말 잘쓸게요,내구성,내구성,내구성,P,P,P,품질,품질,품질,"기존 aspect 라벨 '내구성'은 유지하고, polarity 라벨을 긍정적인 'P'로 수정하여 내구성이 좋다는 긍정적인 평가를 반영하였습니다. 또한, category 라벨 '품질'은 제품의 내구성에 대한 평가에 적합하므로 유지하였습니다. target 라벨은 상품명을 참고하여 '블루투스 키보드'로 수정하였습니다.",,키보드,블루투스 키보드,
352595429,오아 무선 접이식 블루투스 키보드 OA-BTKBDA,"배송빠르고,페어링 잘되고, 가성비 좋고-!!!","배송, _x0008_페어링, 가성비",배터리 수명,"배송, 페어링, 가성비","P, P, P",P,"P, P, P","배송, 품질, 가격",품질,"배송, 품질, 가격",품질 측면에서 배터리 수명이 중요한 요소일 수 있으므로 '배터리 수명'을 추가하고 '품질' 카테고리에 포함시켰습니다.,,키보드,키보드,aspect 인식을 잘 못함. 워딩 그대로 사용하지 않음. 명사 혹은 명사구가 아니어서 그런듯?
